SystemName	DisplayName	State	StartMode
SJPRTGAPPPRDN01	AllJoyn Router Service	Stopped	Manual
SJPRTGAPPPRDN01	Application Layer Gateway Service	Stopped	Manual
SJPRTGAPPPRDN01	Application Identity	Stopped	Manual
SJPRTGAPPPRDN01	Application Information	Stopped	Manual
SJPRTGAPPPRDN01	Application Management	Stopped	Manual
SJPRTGAPPPRDN01	App Readiness	Stopped	Manual
SJPRTGAPPPRDN01	Microsoft App-V Client	Stopped	Disabled
SJPRTGAPPPRDN01	AppX Deployment Service (AppXSVC)	Stopped	Manual
SJPRTGAPPPRDN01	Windows Audio Endpoint Builder	Stopped	Manual
SJPRTGAPPPRDN01	Windows Audio	Stopped	Manual
SJPRTGAPPPRDN01	ActiveX Installer (AxInstSV)	Stopped	Manual
SJPRTGAPPPRDN01	Base Filtering Engine	Running	Auto
SJPRTGAPPPRDN01	Background Intelligent Transfer Service	Stopped	Manual
SJPRTGAPPPRDN01	Background Tasks Infrastructure Service	Running	Auto
SJPRTGAPPPRDN01	Computer Browser	Stopped	Disabled
SJPRTGAPPPRDN01	Bluetooth Support Service	Stopped	Manual
SJPRTGAPPPRDN01	Carbon Black Sensor	Running	Auto
SJPRTGAPPPRDN01	Connected Devices Platform Service	Stopped	Auto
SJPRTGAPPPRDN01	Certificate Propagation	Running	Manual
SJPRTGAPPPRDN01	Active Directory Certificate Services	Stopped	Disabled
SJPRTGAPPPRDN01	Client License Service (ClipSVC)	Stopped	Manual
SJPRTGAPPPRDN01	COM+ System Application	Stopped	Manual
SJPRTGAPPPRDN01	CoreMessaging	Running	Auto
SJPRTGAPPPRDN01	Cryptographic Services	Running	Auto
SJPRTGAPPPRDN01	Offline Files	Stopped	Disabled
SJPRTGAPPPRDN01	DCOM Server Process Launcher	Running	Auto
SJPRTGAPPPRDN01	DataCollectionPublishingService	Stopped	Manual
SJPRTGAPPPRDN01	Optimize drives	Stopped	Manual
SJPRTGAPPPRDN01	Device Association Service	Stopped	Manual
SJPRTGAPPPRDN01	Device Install Service	Running	Manual
SJPRTGAPPPRDN01	DevQuery Background Discovery Broker	Stopped	Manual
SJPRTGAPPPRDN01	DHCP Client	Running	Auto
